Authors,Author full names,Author(s) ID,Title,Year,Source title,Link,Affiliations,Authors with affiliations,Funding Details
Zahn-Daimler G.; MÃ¼ller W.E.G.; Kurelec B.; Rijavec M.; Zahn R.K.,"Zahn-Daimler, Gertrud (6506054275); MÃ¼ller, Werner E.G. (57201576528); Kurelec, Branko (14325060900); Rijavec, Marija (6603826389); Zahn, Rudolf K. (7102439437)",6506054275; 57201576528; 14325060900; 6603826389; 7102439437,Regenerating sponge cubes as a model in the impact evaluation of intermittant city and factory waste pollution,1975,"Science of the Total Environment, The",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016685371&doi=10.1016%2f0048-9697%2875%2990007-8&partnerID=40&md5=939763e22fd30627bb8e8a878452e414,"Institute for Physiological Chemistry, University, 65 Mainz, Germany; Commission Molecular Biology, Academic of Science and Letters, 65 Mainz B.R.D.; Laboratory for Marine Molecular Biology, Center for Marine Research, Rovinj","Zahn-Daimler G., Commission Molecular Biology, Academic of Science and Letters, 65 Mainz B.R.D., Laboratory for Marine Molecular Biology, Center for Marine Research, Rovinj; MÃ¼ller W.E.G., Institute for Physiological Chemistry, University, 65 Mainz, Germany, Commission Molecular Biology, Academic of Science and Letters, 65 Mainz B.R.D., Laboratory for Marine Molecular Biology, Center for Marine Research, Rovinj; Kurelec B., Laboratory for Marine Molecular Biology, Center for Marine Research, Rovinj; Rijavec M., Laboratory for Marine Molecular Biology, Center for Marine Research, Rovinj; Zahn R.K., Institute for Physiological Chemistry, University, 65 Mainz, Germany, Commission Molecular Biology, Academic of Science and Letters, 65 Mainz B.R.D., Laboratory for Marine Molecular Biology, Center for Marine Research, Rovinj","Academy of Science and Letters, Mainz"
Ferrara G.; Baccani D.; Campioni G.,"Ferrara, G. (57220525857); Baccani, D. (24545486400); Campioni, G. (56986626300)",57220525857; 24545486400; 56986626300,Feasibility hypothesis for the Maritime Alps Natural Park,1978,Landscape Planning,https://www.scopus.com/inward/record.uri?eid=2-s2.0-49349120071&doi=10.1016%2f0304-3924%2878%2990004-7&partnerID=40&md5=8409391b62ada5ca33d9cafd8d6f9fa7,"Florence, Via Ghibellina 88, Italy","Ferrara G., Florence, Via Ghibellina 88, Italy; Baccani D., Florence, Via Ghibellina 88, Italy; Campioni G., Florence, Via Ghibellina 88, Italy",
Lean B.,"Lean, B. (6506760801)",6506760801,Resources for the inner city: a critique of government policies.,1979,Greater London Intelligence Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018670637&partnerID=40&md5=cfebe18e2e15fb9e859bc183cb6a008c,,,
Carleton T.J.; Taylor S.J.,"Carleton, T.J. (6701714349); Taylor, S.J. (56324786900)",6701714349; 56324786900,"The structure and composition of a wooded urban ravine system ( Scarborough, Ontario).",1983,Canadian Journal of Botany,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021059720&doi=10.1139%2fb83-149&partnerID=40&md5=fde4fec7dd99cba8e021922c2d3b407d,Canada,"Carleton T.J., Canada; Taylor S.J., Canada",
Thibodeau J.-C.,"Thibodeau, J.-C. (7005882239)",7005882239,"(A more contained urbanization, a regenerating agriculture).; [Une urbanisation mieux contenue, une agriculture qui se regenere.]",1984,Cahiers - Institut d'Amenagement et d'Urbanisme de la Region d'Ile-de-France,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021532479&partnerID=40&md5=3fcd04396aa5ff70ff06eeb945f41f56,,,
Barocio De La Lama O.,"Barocio De La Lama, O. (6505936104)",6505936104,Eco- communities for urban retention in Mexico's megacity green belt zones.,1985,"Passive and low energy ecotechniques. Proc. 3rd PLEA conference, Mexico City, 1984",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021817096&partnerID=40&md5=8868b9f2b71ac4d1a393a31ccd1fa4b2,Mexico,"Barocio De La Lama O., Mexico",
Larkins J.T.; Kovach A.J.,"Larkins, J.T. (6603216747); Kovach, A.J. (7101855942)",6603216747; 7101855942,Static feed water electrolysis system for space station O2 and H2 generation,1985,SAE Technical Papers,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072464661&doi=10.4271%2f851339&partnerID=40&md5=b2d07068ba5de287a2aaac23ac04720d,"Life Systems, Inc.","Larkins J.T., Life Systems, Inc.; Kovach A.J., Life Systems, Inc.",
Brown J.S.; Rosenzweig M.L.,"Brown, Joel S. (7409448841); Rosenzweig, Michael L. (7101650731)",7409448841; 7101650731,Habitat selection in slowly regenerating environments,1986,Journal of Theoretical Biology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000707399&doi=10.1016%2fS0022-5193%2886%2980150-3&partnerID=40&md5=5b81e9eabfe94ec86470aba7aea5a37c,"Department of Ecology, Evolutionary Biology University of Arizona, Tucson, AZ 85721, United States","Brown J.S., Department of Ecology, Evolutionary Biology University of Arizona, Tucson, AZ 85721, United States; Rosenzweig M.L., Department of Ecology, Evolutionary Biology University of Arizona, Tucson, AZ 85721, United States","National Science Foundation, NSF, (BSR-8103487)"
Sukardjo S.,"Sukardjo, Sukristijono (6602396209)",6602396209,"Natural regeneration status of commercial mangrove species (Rhizophora apiculata and Bruguiera gymnorrhiza) in the mangrove forest of Tanjung Bungin, Banyuasin District, South Sumatra",1987,Forest Ecology and Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023511130&doi=10.1016%2f0378-1127%2887%2990082-X&partnerID=40&md5=acd6a8b823791fd2a75e941f760dfd2f,Indonesia,"Sukardjo S., Indonesia",
Burrows B.,"Burrows, Brian (7102939188)",7102939188,Milton keynes: A model for regenerating our cities?,1987,Long Range Planning,https://www.scopus.com/inward/record.uri?eid=2-s2.0-45949118973&doi=10.1016%2f0024-6301%2887%2990033-1&partnerID=40&md5=150a08aa0b9bbc03d3d08682e8013920,,,Borough of Milton; Manpower Services Commission; Milton Keynes Christian Industrial Foundation
